question,answer,category,intent_id,variant_group,status
what is pcos,"PCOS stands for Polycystic Ovary Syndrome. It is a complex hormonal condition that affects how the ovaries function and how hormone signals interact across the body. Although the name refers to ovaries, PCOS is not only an ovarian condition because it can also influence menstrual cycles, ovulation, skin changes, hair growth, metabolism, insulin response and emotional wellbeing. Research describes PCOS as a heterogeneous condition, meaning symptoms do not appear in exactly the same way for everyone. Some women experience irregular periods and acne, while others notice fatigue, weight changes, hair thinning or facial hair growth. Current literature links PCOS to hormone imbalance, insulin-related processes, genetic influence and disrupted ovulation patterns, although one single cause has not been confirmed. HerSignal does not diagnose PCOS, but helps women explore symptom patterns in a clearer educational way while recognising that many women often feel unheard before receiving proper support.",basics,pcos_definition,basics,active
what does pcos mean,"PCOS means Polycystic Ovary Syndrome. The term describes a hormonal condition linked to irregular ovulation, androgen-related symptoms and metabolic changes, although not everyone experiences all of these features together. The word polycystic can sound misleading because many people with PCOS do not actually have ovarian cysts visible on ultrasound. Clinical diagnosis usually depends on broader symptom patterns rather than one single feature alone. HerSignal explains these patterns carefully because many women first encounter confusion when symptoms do not match one obvious textbook description.",basics,pcos_definition,basics,active
what is polycystic ovary syndrome,"Polycystic Ovary Syndrome is a hormonal and metabolic condition commonly discussed in reproductive health because it affects ovulation, menstrual timing and hormone balance. However, modern research also recognises that it can affect skin, hair, insulin sensitivity, inflammation and emotional wellbeing. Clinical literature explains that PCOS often presents differently across individuals, which is why some women experience delayed diagnosis. HerSignal is designed to reflect that symptom variation in a way that remains educational rather than diagnostic.",basics,pcos_definition,basics,active
what causes pcos,"The exact cause of PCOS is still not fully understood, but current research often links it to several interacting factors rather than one single cause. These include hormone regulation changes, insulin resistance, genetic influence, androgen activity and disruption in ovulation signalling. Family history may increase likelihood in some individuals, suggesting that inherited biological tendencies may contribute. Researchers also describe metabolic processes as important because insulin can influence hormone production in ways that affect ovulation and symptom development. Because causes are complex, PCOS should not be reduced to one explanation alone.",basics,pcos_causes,basics,active
why does pcos happen,"PCOS happens through a combination of biological processes that affect hormone balance, ovulation and metabolism. Research often shows that insulin-related activity, androgen production and ovarian signalling may interact in ways that disturb the normal menstrual cycle. In some women, this leads to irregular ovulation, while in others it appears more strongly through skin changes, hair growth or fatigue. Genetics may also play a role because PCOS can appear more often within families. The condition is still being studied because symptom variation remains one of its most complex features.",basics,pcos_causes,basics,active
is pcos common,"PCOS is considered one of the most commonly discussed hormonal conditions affecting women of reproductive age. Many studies estimate that it affects a significant proportion of women globally, although exact numbers vary depending on diagnostic criteria used. Some women remain undiagnosed for years because symptoms may be mistaken for unrelated issues such as stress, weight fluctuation or normal cycle variation. This is one reason educational awareness remains important.",basics,pcos_prevalence,basics,active
can pcos cause irregular periods,"PCOS can cause irregular periods because hormone signals involved in ovulation may become disrupted. When ovulation does not happen regularly, menstrual cycles may become delayed, unpredictable or widely spaced apart. Some women experience very long cycles, while others notice missed periods altogether. This does not always happen in the same way for everyone, which is why symptom context matters.",symptoms_hormonal,period_irregularity,hormonal,active
can pcos cause acne,"PCOS can contribute to acne because increased androgen activity may stimulate oil production in the skin. This often affects areas such as the jawline, chin, cheeks or lower face, although patterns vary. Some women notice persistent acne that does not fully respond to ordinary skincare approaches, especially when hormone fluctuations are involved. Skin symptoms can overlap with other causes too, so context always matters.",symptoms_hormonal,acne_with_pcos,hormonal,active
can pcos cause facial hair,"Some women with PCOS experience increased facial hair because androgen levels or androgen sensitivity may influence hair growth patterns. This commonly appears around the chin, upper lip, jawline or sideburn area. Research often refers to this as hirsutism when hair growth becomes more noticeable in androgen-sensitive areas. It can feel emotionally difficult for many women, which is why symptom discussion should remain sensitive and non-judgmental.",symptoms_hormonal,excess_hair_growth,hormonal,active
can pcos cause hair loss,"PCOS can be linked to scalp hair thinning because hormone changes may affect how hair follicles behave over time. Some women notice widening around the centre parting, increased shedding or reduced hair density near the crown. This does not affect everyone equally, and severity varies depending on hormonal pattern and individual sensitivity.",symptoms_hormonal,scalp_hair_thinning,hormonal,active
can pcos cause weight gain,"Some women with PCOS notice weight changes or difficulty managing weight, particularly when insulin-related symptoms are involved. Research often links this to metabolic differences rather than simply lifestyle alone. Appetite fluctuations, fatigue, cravings and blood sugar changes may also influence this experience. It is important to recognise that not everyone with PCOS gains weight, and symptom patterns vary widely.",symptoms_metabolic,weight_changes_with_pcos,metabolic,active
can pcos cause fatigue,"Fatigue can appear alongside PCOS-related symptoms for some women, especially when sleep quality, blood sugar changes, inflammation, stress or hormone disruption are also present. Some women describe feeling tired even when other symptoms seem mild. Because fatigue can overlap with many other conditions, it should always be interpreted carefully.",symptoms_metabolic,fatigue_with_pcos,metabolic,active
can pcos cause insulin resistance,"PCOS is frequently discussed alongside insulin resistance because insulin may affect how hormones are produced and regulated in the body. When insulin becomes less effective, the body may produce more of it, which can influence androgen levels and metabolic symptoms. This may contribute to fatigue, cravings, weight difficulty or darkened skin changes in some individuals.",symptoms_metabolic,insulin_resistance_with_pcos,metabolic,active
